wall,loadavg_1m,cpu_busy_pct,rt_ratio_dl,rt_ratio_ul,gpu_temp_c,gpu_util_pct,gpu_mem_mib
1789622828.162,8.78,32.2,0.9233,0.9233,76,89,2863
1789622829.165,8.78,33.8,0.925,0.925,76,88,2863
1789622830.168,8.78,38.7,0.9121,0.9121,70,12,2863
1789622831.17,8.78,39.3,0.9071,0.9071,76,87,2863
1789622832.172,8.24,25.5,0.9206,0.9196,74,81,2863
1789622833.174,8.24,41.0,0.9162,0.9172,76,89,2863
1789622834.177,8.24,38.2,0.9186,0.9184,76,89,2863
1789622835.18,8.24,39.0,0.9177,0.9179,69,0,2863
1789622836.182,8.24,40.5,0.9148,0.9138,77,88,2863
1789622837.184,7.74,39.1,0.9072,0.908,67,32,2863
1789622838.186,7.74,39.2,0.914,0.9133,76,89,2863
1789622839.189,7.74,25.7,0.9223,0.9233,74,81,2863
1789622840.191,7.74,25.3,0.9221,0.9221,69,0,2863
1789622841.194,7.74,40.8,0.9296,0.9289,76,87,2863
1789622842.197,7.68,25.1,0.9255,0.9282,69,0,2863
1789622843.199,7.68,40.6,0.928,0.925,77,86,2863
1789622844.202,7.68,40.0,0.9294,0.9304,74,44,2863
1789622845.204,7.68,43.8,0.9299,0.9289,76,78,2863
1789622846.206,7.68,36.7,0.928,0.929,76,89,2863
1789622847.209,7.71,38.6,0.92,0.92,69,0,2863
1789622848.211,7.71,40.1,0.9236,0.9229,77,87,2863
1789622849.214,7.71,39.5,0.9278,0.9283,72,40,2863
1789622850.216,7.71,32.7,0.9179,0.9181,76,87,2863
1789622851.218,7.71,33.1,0.9302,0.9302,76,89,2863
1789622852.22,7.41,40.1,0.9351,0.9351,68,0,2863
1789622853.222,7.41,39.8,0.9239,0.9239,77,88,2863
1789622854.224,7.41,25.8,0.9242,0.9232,67,0,2863
