wall,cell,event,detail
1789625193.365,c037,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 0.5, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 0.5, ""raw"": ""qdisc netem 8037: root refcnt 2 limit 1000 loss 0.5%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 0.5, ""raw"": ""qdisc netem 8038: root refcnt 2 limit 1000 loss 0.5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789625233.012,c037,done,attempt 1
1789625234.037,c038,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 5, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8039: root refcnt 2 limit 1000 delay 100ms loss 5%""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 803a: root refcnt 2 limit 1000 delay 100ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789625372.674,c038,done,attempt 1
1789625373.725,c039,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 1, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 803b: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 803c: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789625450.879,c039,done,attempt 1
1789625451.907,c040,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 803d: root refcnt 2 limit 1000 delay 50ms""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 803e: root refcnt 2 limit 1000 delay 50ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789625561.46,c040,done,attempt 1
1789625562.511,c041,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 20, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 803f: root refcnt 2 limit 1000 loss 20%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 8040: root refcnt 2 limit 1000 loss 20%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789625708.904,c041,done,attempt 1
1789625709.937,c042,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 200, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8041: root refcnt 2 limit 1000 delay 200ms""}, ""downlink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8042: root refcnt 2 limit 1000 delay 200ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789625856.313,c042,done,attempt 1
1789625857.364,c043,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 5, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8043: root refcnt 2 limit 1000 delay 100ms loss 5%""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8044: root refcnt 2 limit 1000 delay 100ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789625940.766,c043,done,attempt 1
1789625941.725,c044,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": true, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789625958.161,c044,done,attempt 1
1789625959.224,c045,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 10, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 8045: root refcnt 2 limit 1000 loss 10%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 8046: root refcnt 2 limit 1000 loss 10%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789626093.525,c045,done,attempt 1
1789626094.477,c046,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789626154.317,c046,done,attempt 1
1789626155.377,c047,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 1, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8047: root refcnt 2 limit 1000 loss 1%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8048: root refcnt 2 limit 1000 loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789626256.944,c047,done,attempt 1
1789626257.995,c048,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 5, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8049: root refcnt 2 limit 1000 delay 100ms loss 5%""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 804a: root refcnt 2 limit 1000 delay 100ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789626356.859,c048,done,attempt 1
1789626357.907,c049,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 804b: root refcnt 2 limit 1000 delay 50ms""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 804c: root refcnt 2 limit 1000 delay 50ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789626407.218,c049,done,attempt 1
1789626408.266,c050,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 804d: root refcnt 2 limit 1000 delay 100ms""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 804e: root refcnt 2 limit 1000 delay 100ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789626514.606,c050,done,attempt 1
